Episodio,Percentual de Vitorias (%),Score Medio
1000,0.00,1372.79
2000,0.00,2202.98
3000,0.00,2210.02
4000,0.00,1913.48
5000,0.00,2464.82
6000,0.10,2580.44
7000,0.00,2299.34
8000,0.00,2518.54
9000,0.00,2561.04
10000,0.00,2601.35
11000,0.00,2523.44
12000,0.10,2555.03
13000,0.00,2416.44
14000,0.00,2489.87
15000,0.00,2504.73
16000,0.00,2454.69
17000,0.00,2296.94
18000,0.00,2552.02
19000,0.00,2398.17
20000,0.00,2338.95
21000,0.00,2538.25
22000,0.00,2409.14
23000,0.00,2468.92
24000,0.20,2363.76
25000,0.00,2090.54
26000,0.20,2414.57
27000,0.00,2229.01
28000,0.00,2278.53
29000,0.00,2211.59
30000,0.00,2327.64
31000,0.00,2146.00
32000,0.10,2296.49
33000,0.00,2067.83
34000,0.00,2084.41
35000,0.00,2177.08
